"with_CO2","what","site","sp","parameter","Value","Std.Error","DF","t.value","p.value"
FALSE,"log_BAI_dbh","ScottyCreek","PIMA","(Intercept)",-1.71065678922393,0.0869820126788069,8209,-19.666787839697,3.52308270751744e-84
FALSE,"log_BAI_dbh","ScottyCreek","PIMA","dbh",0.391181885521271,0.031667535997336,8209,12.3527730592673,9.56843121646996e-35
FALSE,"log_BAI_dbh","ScottyCreek","PIMA","I(dbh^2)",-0.0317535737107427,0.00308209999504725,8209,-10.3025773861227,9.7012858980268e-25
FALSE,"log_BAI_dbh","ScottyCreek","PIMA","pre",-0.0012634412138364,0.000495805921183395,8209,-2.548257614231,0.0108443041250222
FALSE,"log_BAI_dbh","ScottyCreek","PIMA","I(pre^2)",-8.85251518916213e-05,1.02763900276218e-05,8209,-8.6144211784173,8.34200594109141e-18
FALSE,"log_BAI_dbh","ScottyCreek","PIMA","tmx",-0.0272763060874041,0.00218315671532948,8209,-12.4939753046027,1.69150934642573e-35
FALSE,"log_core_measurement","NewMexico","PIPO","(Intercept)",-5.30932678636351,1.00751955322162,2144,-5.26970098931236,1.50338708941105e-07
FALSE,"log_core_measurement","NewMexico","PIPO","pre",-0.132238012366087,0.00926859630170026,2144,-14.2673181635745,3.44920377094053e-44
FALSE,"log_core_measurement","NewMexico","PIPO","I(pre^2)",-0.00276035099392224,0.000131515744061623,2144,-20.9887493974019,4.16723300127261e-89
FALSE,"log_core_measurement","NewMexico","PIPO","tmx",0.825769399008101,0.23576701812326,2144,3.50248056569297,0.00047038361573796
FALSE,"log_core_measurement","NewMexico","PIPO","I(tmx^2)",-0.0473723883366351,0.0129346699671883,2144,-3.66243502592689,0.000255881956220767
FALSE,"log_core_measurement","NewMexico","PIST2","(Intercept)",-2.72728925808068,0.943687252852567,1486,-2.89003507235756,0.00390791033036492
FALSE,"log_core_measurement","NewMexico","PIST2","pre",-0.0605324520987897,0.00859533584234164,1486,-7.04247666514666,2.87747741909089e-12
FALSE,"log_core_measurement","NewMexico","PIST2","I(pre^2)",-0.00158691364829493,0.000122365983334678,1486,-12.9685849371605,1.62883635724221e-36
FALSE,"log_core_measurement","NewMexico","PIST2","tmx",0.555802717682285,0.220863401025014,1486,2.5164998596546,0.0119572924800104
FALSE,"log_core_measurement","NewMexico","PIST2","I(tmx^2)",-0.0337797367485107,0.0121176238630087,1486,-2.78765351445092,0.00537673799873516
FALSE,"log_core_measurement_dbh","NewMexico","PIPO","(Intercept)",-2.74048575433012,1.03567033192889,2143,-2.64609854105417,0.00820216277058934
FALSE,"log_core_measurement_dbh","NewMexico","PIPO","dbh",-0.0583479755389889,0.00449668111192129,2143,-12.9757868273783,4.04153467752315e-37
FALSE,"log_core_measurement_dbh","NewMexico","PIPO","pre",-0.130611229397393,0.0092755506518988,2143,-14.0812372547021,3.89979741506568e-43
FALSE,"log_core_measurement_dbh","NewMexico","PIPO","I(pre^2)",-0.00270626279697161,0.00013180799709528,2143,-20.5318558555695,1.15061669243128e-85
FALSE,"log_core_measurement_dbh","NewMexico","PIPO","tmx",0.662507182073858,0.234239197371453,2143,2.82833611755962,0.00472256809939248
FALSE,"log_core_measurement_dbh","NewMexico","PIPO","I(tmx^2)",-0.0388797297212795,0.0128490540216108,2143,-3.02588265687792,0.00250857135294544
FALSE,"log_core_measurement_dbh","NewMexico","PIST2","(Intercept)",-1.35925473666624,1.01217331301429,1370,-1.34290710809034,0.179524491120742
